country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,10.1,,,,,10.2,,,,,10.3,,,,,10.8,,,,,9.98,,,,,10.1,,,,,10.3,,,,,10.3,,,,,10.4,,,,,10.5,,,,,10.4,,,,,10.7,,,,,10.5,,,,,11.7,,,,,12,,,,,11.9,,,,,10.8,,,,,10.3,,,,,9.76,,,,,9.27,,,,,8.79,,,,,8.3,,,,,7.79,,,,,7.29,,,,,6.87,,,,,6.53,,,,,6.23,,,,,5.99,,,,,5.77,,,,,5.59,,,,,5.45
Albania,9.06,,,,,9.8,,,,,9.16,,,,,8.87,,,,,9.93,,,,,11,,,,,11.3,,,,,10.3,,,,,9.71,,,,,9.28,,,,,9.47,,,,,10.3,,,,,9.22,,,,,8.46,,,,,6.38,,,,,5.07,,,,,5.47,,,,,5.39,,,,,5.44,,,,,5.32,,,,,4.98,,,,,4.64,,,,,4.55,,,,,4.66,,,,,4.75,,,,,4.74,,,,,4.63,,,,,4.49,,,,,4.45,,,,,4.52,,,,,4.61
Algeria,10.4,,,,,10.1,,,,,9.47,,,,,8.92,,,,,10.8,,,,,10.8,,,,,10.9,,,,,10.8,,,,,11.1,,,,,11.6,,,,,12.1,,,,,11.6,,,,,10,,,,,7.48,,,,,6.66,,,,,8.16,,,,,9.37,,,,,8.43,,,,,7.4,,,,,6.52,,,,,6.09,,,,,6.1,,,,,6.28,,,,,6.32,,,,,6.04,,,,,5.63,,,,,5.36,,,,,5.29,,,,,5.33,,,,,5.36,,,,,5.29
Angola,10.1,,,,,9.44,,,,,8.87,,,,,8.56,,,,,10.8,,,,,10.4,,,,,10.2,,,,,10.1,,,,,10.3,,,,,10.7,,,,,10.6,,,,,10.7,,,,,10.5,,,,,10.4,,,,,10.8,,,,,11.1,,,,,10.9,,,,,10.6,,,,,10.5,,,,,10.4,,,,,10.2,,,,,10.1,,,,,9.82,,,,,9.55,,,,,9.28,,,,,9.02,,,,,8.78,,,,,8.54,,,,,8.3,,,,,8.05,,,,,7.83
Antigua and Barbuda,9.29,,,,,9.76,,,,,10.5,,,,,10.1,,,,,11.5,,,,,11.3,,,,,11,,,,,11.2,,,,,8.86,,,,,7.86,,,,,8.18,,,,,8.6,,,,,8.71,,,,,8.23,,,,,7.68,,,,,7.05,,,,,6.69,,,,,6.53,,,,,6.38,,,,,6.16,,,,,5.91,,,,,5.7,,,,,5.57,,,,,5.51,,,,,5.46,,,,,5.37,,,,,5.26,,,,,5.17,,,,,5.1,,,,,5.08,,,,,5.05
Argentina,9.27,,,,,8.61,,,,,8.49,,,,,8.72,,,,,8.87,,,,,8.61,,,,,8.09,,,,,7.93,,,,,8.38,,,,,9.25,,,,,8.49,,,,,8.32,,,,,8.09,,,,,7.63,,,,,7.58,,,,,7.39,,,,,7.25,,,,,6.98,,,,,6.71,,,,,6.48,,,,,6.28,,,,,6.09,,,,,5.93,,,,,5.78,,,,,5.63,,,,,5.49,,,,,5.39,,,,,5.29,,,,,5.22,,,,,5.14,,,,,5.07
Armenia,10.4,,,,,12.2,,,,,6.37,,,,,7.44,,,,,9.75,,,,,11.9,,,,,11.2,,,,,8.61,,,,,7.38,,,,,7.87,,,,,9.09,,,,,9.66,,,,,8.1,,,,,5.52,,,,,5.09,,,,,5.89,,,,,6.17,,,,,5.63,,,,,5.02,,,,,4.55,,,,,4.42,,,,,4.62,,,,,4.83,,,,,4.81,,,,,4.6,,,,,4.41,,,,,4.4,,,,,4.56,,,,,4.73,,,,,4.79,,,,,4.71
Australia,6.66,,,,,6.59,,,,,7.36,,,,,8.76,,,,,8.58,,,,,8.77,,,,,8.73,,,,,8.11,,,,,7.97,,,,,6.85,,,,,6.69,,,,,6.66,,,,,6.46,,,,,6.04,,,,,5.82,,,,,6.16,,,,,6.19,,,,,6.25,,,,,6.01,,,,,5.78,,,,,5.61,,,,,5.58,,,,,5.62,,,,,5.63,,,,,5.56,,,,,5.44,,,,,5.33,,,,,5.25,,,,,5.22,,,,,5.19,,,,,5.13
Austria,6.01,,,,,6.55,,,,,7.19,,,,,6.37,,,,,6,,,,,7.08,,,,,7.89,,,,,7.64,,,,,6.24,,,,,5.45,,,,,5.66,,,,,5.66,,,,,5.71,,,,,5.02,,,,,4.63,,,,,4.44,,,,,4.5,,,,,4.73,,,,,4.77,,,,,4.64,,,,,4.46,,,,,4.39,,,,,4.46,,,,,4.61,,,,,4.74,,,,,4.76,,,,,4.71,,,,,4.65,,,,,4.63,,,,,4.66,,,,,4.7
Azerbaijan,11.6,,,,,11.9,,,,,6.03,,,,,6.52,,,,,9,,,,,11.3,,,,,12.7,,,,,10.8,,,,,8.76,,,,,8.47,,,,,9.49,,,,,10.8,,,,,9.64,,,,,7.05,,,,,5.83,,,,,6.18,,,,,7.48,,,,,6.89,,,,,5.97,,,,,5.48,,,,,5.52,,,,,5.68,,,,,5.69,,,,,5.55,,,,,5.36,,,,,5.24,,,,,5.24,,,,,5.29,,,,,5.29,,,,,5.23,,,,,5.15
