country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahamas,9.73,,,,,9.51,,,,,8.66,,,,,9.13,,,,,9.67,,,,,10.2,,,,,12.3,,,,,10.6,,,,,10.2,,,,,8.89,,,,,9.15,,,,,8.94,,,,,8.79,,,,,7.65,,,,,6,,,,,6.25,,,,,6.2,,,,,6.04,,,,,5.84,,,,,5.57,,,,,5.28,,,,,5.11,,,,,5.11,,,,,5.16,,,,,5.15,,,,,5.08,,,,,4.99,,,,,4.94,,,,,4.93,,,,,4.95,,,,,4.96
Bahrain,9.75,,,,,9.83,,,,,9.96,,,,,8.59,,,,,10.4,,,,,12.3,,,,,11.9,,,,,8.27,,,,,8.76,,,,,8.48,,,,,8.95,,,,,8.39,,,,,7.59,,,,,6.84,,,,,6.65,,,,,7.04,,,,,7.07,,,,,6.87,,,,,6.68,,,,,6.52,,,,,6.36,,,,,5.87,,,,,5.42,,,,,5.2,,,,,5.15,,,,,5.16,,,,,5.13,,,,,5.05,,,,,4.96,,,,,4.91,,,,,4.92
Bangladesh,10.1,,,,,10.2,,,,,10.1,,,,,9.73,,,,,9.33,,,,,9.45,,,,,11.1,,,,,11.4,,,,,10.8,,,,,11.1,,,,,11.1,,,,,10.8,,,,,10.2,,,,,9.86,,,,,9.35,,,,,8.48,,,,,7.86,,,,,7.41,,,,,6.92,,,,,6.45,,,,,6.01,,,,,5.65,,,,,5.39,,,,,5.19,,,,,5.03,,,,,4.9,,,,,4.8,,,,,4.73,,,,,4.68,,,,,4.66,,,,,4.65
Barbados,8.77,,,,,8.36,,,,,8.46,,,,,9.37,,,,,10.3,,,,,11.6,,,,,10.7,,,,,9.58,,,,,9.29,,,,,7.29,,,,,7.11,,,,,6.72,,,,,6.55,,,,,6.13,,,,,6.02,,,,,5.84,,,,,5.75,,,,,5.62,,,,,5.53,,,,,5.48,,,,,5.45,,,,,5.45,,,,,5.45,,,,,5.43,,,,,5.41,,,,,5.37,,,,,5.33,,,,,5.31,,,,,5.28,,,,,5.25,,,,,5.22
Belarus,9.33,,,,,9.29,,,,,5.86,,,,,6.32,,,,,7.77,,,,,8.71,,,,,8.02,,,,,6.76,,,,,6.67,,,,,6.8,,,,,7.4,,,,,7.29,,,,,5.78,,,,,4.42,,,,,4.29,,,,,5,,,,,5.7,,,,,5.59,,,,,5.26,,,,,4.84,,,,,4.69,,,,,4.96,,,,,5.37,,,,,5.56,,,,,5.45,,,,,5.23,,,,,5.11,,,,,5.17,,,,,5.34,,,,,5.43,,,,,5.37
Belgium,7.06,,,,,6.34,,,,,5.81,,,,,7.22,,,,,7.17,,,,,7.58,,,,,7.79,,,,,7.01,,,,,6.34,,,,,5.72,,,,,5.66,,,,,5.7,,,,,5.76,,,,,5.38,,,,,5.32,,,,,5.57,,,,,5.53,,,,,5.54,,,,,5.42,,,,,5.28,,,,,5.2,,,,,5.24,,,,,5.32,,,,,5.36,,,,,5.33,,,,,5.26,,,,,5.19,,,,,5.16,,,,,5.16,,,,,5.15,,,,,5.12
Belize,10.3,,,,,9.3,,,,,8.56,,,,,9.29,,,,,10.7,,,,,12,,,,,12.4,,,,,11.8,,,,,11.3,,,,,10.7,,,,,11,,,,,10.5,,,,,10.7,,,,,10.7,,,,,9.92,,,,,8.61,,,,,8.3,,,,,8.2,,,,,7.94,,,,,7.5,,,,,7.03,,,,,6.66,,,,,6.4,,,,,6.22,,,,,6.04,,,,,5.86,,,,,5.69,,,,,5.55,,,,,5.45,,,,,5.39,,,,,5.33
Benin,8.52,,,,,9.25,,,,,10,,,,,9.56,,,,,9.17,,,,,9.41,,,,,9.74,,,,,9.92,,,,,10,,,,,10.2,,,,,10.3,,,,,10.4,,,,,10.6,,,,,10.6,,,,,10.5,,,,,10.5,,,,,10.5,,,,,10.3,,,,,10.1,,,,,9.91,,,,,9.71,,,,,9.5,,,,,9.27,,,,,9.03,,,,,8.8,,,,,8.58,,,,,8.38,,,,,8.17,,,,,7.96,,,,,7.76,,,,,7.57
Bhutan,10.2,,,,,10.4,,,,,10.4,,,,,10.5,,,,,9.26,,,,,9.48,,,,,9.85,,,,,10.4,,,,,10.7,,,,,10.8,,,,,11.5,,,,,12.6,,,,,11.5,,,,,10.2,,,,,9,,,,,8.55,,,,,7.87,,,,,7.58,,,,,7.05,,,,,6.46,,,,,5.96,,,,,5.62,,,,,5.43,,,,,5.32,,,,,5.21,,,,,5.07,,,,,4.95,,,,,4.88,,,,,4.87,,,,,4.9,,,,,4.91
Bolivia,9.34,,,,,9.15,,,,,9.85,,,,,9.69,,,,,10.7,,,,,10.5,,,,,10.4,,,,,10.4,,,,,10.4,,,,,10.7,,,,,10.7,,,,,10.3,,,,,10.1,,,,,9.95,,,,,9.53,,,,,9.01,,,,,8.5,,,,,8.26,,,,,7.98,,,,,7.67,,,,,7.34,,,,,7.02,,,,,6.73,,,,,6.47,,,,,6.25,,,,,6.04,,,,,5.85,,,,,5.68,,,,,5.54,,,,,5.42,,,,,5.31
Bosnia and Herzegovina,11.8,,,,,11.2,,,,,8.31,,,,,10,,,,,10.7,,,,,10.2,,,,,10.3,,,,,8.99,,,,,8.18,,,,,7.2,,,,,7.19,,,,,7.24,,,,,6.49,,,,,6.28,,,,,4.81,,,,,4.75,,,,,4.53,,,,,4.61,,,,,4.79,,,,,4.76,,,,,4.53,,,,,4.35,,,,,4.34,,,,,4.47,,,,,4.63,,,,,4.72,,,,,4.69,,,,,4.61,,,,,4.6,,,,,4.66,,,,,4.76
Botswana,10.6,,,,,10.4,,,,,9.47,,,,,8.86,,,,,10.9,,,,,10.9,,,,,10.5,,,,,10.3,,,,,10.7,,,,,11.5,,,,,12.1,,,,,11.3,,,,,10.5,,,,,9.56,,,,,8.79,,,,,8.66,,,,,8.93,,,,,8.44,,,,,7.87,,,,,7.35,,,,,6.97,,,,,6.73,,,,,6.54,,,,,6.34,,,,,6.11,,,,,5.89,,,,,5.72,,,,,5.6,,,,,5.53,,,,,5.46,,,,,5.38
Brazil,9.9,,,,,10.1,,,,,9.46,,,,,9.99,,,,,10.6,,,,,10.8,,,,,11.1,,,,,10.4,,,,,9.9,,,,,10.1,,,,,10.1,,,,,9.23,,,,,8.53,,,,,8.17,,,,,7.36,,,,,6.58,,,,,6.29,,,,,5.94,,,,,5.58,,,,,5.28,,,,,5.04,,,,,4.87,,,,,4.74,,,,,4.67,,,,,4.6,,,,,4.56,,,,,4.53,,,,,4.52,,,,,4.53,,,,,4.54,,,,,4.55
Brunei,9.44,,,,,8.48,,,,,7.32,,,,,6.85,,,,,10.3,,,,,10.3,,,,,10.7,,,,,10.1,,,,,9.27,,,,,9.39,,,,,8.61,,,,,8.89,,,,,9.07,,,,,8.47,,,,,7.68,,,,,6.73,,,,,6.86,,,,,6.53,,,,,6.12,,,,,5.74,,,,,5.43,,,,,5.23,,,,,5.17,,,,,5.17,,,,,5.11,,,,,5.02,,,,,4.92,,,,,4.87,,,,,4.86,,,,,4.88,,,,,4.87
Bulgaria,9.32,,,,,7.68,,,,,7.37,,,,,8.33,,,,,7.85,,,,,7.28,,,,,6.81,,,,,6.64,,,,,7,,,,,7.01,,,,,6.41,,,,,6.28,,,,,5.11,,,,,4.01,,,,,4.23,,,,,4.94,,,,,4.85,,,,,4.87,,,,,4.78,,,,,4.58,,,,,4.5,,,,,4.71,,,,,4.98,,,,,5.1,,,,,5.09,,,,,5.02,,,,,4.97,,,,,5.02,,,,,5.11,,,,,5.17,,,,,5.15
Burkina Faso,10.4,,,,,10.4,,,,,10.4,,,,,10.1,,,,,10.1,,,,,10.2,,,,,10.2,,,,,10.3,,,,,10.3,,,,,10.7,,,,,10.8,,,,,10.6,,,,,10.6,,,,,10.6,,,,,10.8,,,,,11,,,,,10.9,,,,,10.6,,,,,10.4,,,,,10.2,,,,,10,,,,,9.77,,,,,9.47,,,,,9.15,,,,,8.85,,,,,8.56,,,,,8.3,,,,,8.05,,,,,7.79,,,,,7.53,,,,,7.29
Burundi,10,,,,,9.69,,,,,9.44,,,,,9.24,,,,,10.5,,,,,11,,,,,10.7,,,,,9.76,,,,,9.06,,,,,10.1,,,,,11.5,,,,,12.3,,,,,11.7,,,,,10.2,,,,,9.88,,,,,10.5,,,,,10.9,,,,,11,,,,,10.5,,,,,10,,,,,9.81,,,,,9.81,,,,,9.75,,,,,9.49,,,,,9.12,,,,,8.78,,,,,8.55,,,,,8.39,,,,,8.2,,,,,7.95,,,,,7.65
Cambodia,10.3,,,,,9.92,,,,,9.62,,,,,9.68,,,,,11.3,,,,,11.3,,,,,11.4,,,,,10.8,,,,,9.7,,,,,7.66,,,,,13,,,,,11.5,,,,,11,,,,,9.67,,,,,8.5,,,,,8.69,,,,,8.79,,,,,8.47,,,,,7.79,,,,,7.27,,,,,7,,,,,6.84,,,,,6.61,,,,,6.29,,,,,6,,,,,5.79,,,,,5.65,,,,,5.55,,,,,5.42,,,,,5.29,,,,,5.17
Cameroon,9.84,,,,,9.81,,,,,9.58,,,,,9.47,,,,,9.48,,,,,9.41,,,,,9.66,,,,,9.87,,,,,10.1,,,,,10.5,,,,,11.1,,,,,11.2,,,,,10.8,,,,,10.4,,,,,10.6,,,,,10.9,,,,,10.8,,,,,10.4,,,,,10.1,,,,,9.78,,,,,9.53,,,,,9.28,,,,,9.02,,,,,8.74,,,,,8.46,,,,,8.18,,,,,7.94,,,,,7.72,,,,,7.49,,,,,7.27,,,,,7.05
Canada,7.89,,,,,7.27,,,,,7.66,,,,,8.93,,,,,9.59,,,,,9.98,,,,,9.59,,,,,7.58,,,,,6.75,,,,,6.51,,,,,6.57,,,,,6.5,,,,,6.32,,,,,5.67,,,,,5.11,,,,,5.45,,,,,5.41,,,,,5.35,,,,,5.26,,,,,5.15,,,,,5.05,,,,,5.05,,,,,5.11,,,,,5.15,,,,,5.14,,,,,5.09,,,,,5.04,,,,,5.01,,,,,5,,,,,4.99,,,,,4.97
Cape Verde,11.5,,,,,10.3,,,,,7.05,,,,,6.51,,,,,10.7,,,,,11.8,,,,,14.2,,,,,11.8,,,,,9.83,,,,,9.85,,,,,11.3,,,,,12.3,,,,,11.6,,,,,10.7,,,,,9.7,,,,,8.97,,,,,8.35,,,,,8.07,,,,,7.64,,,,,7.12,,,,,6.62,,,,,6.23,,,,,5.93,,,,,5.7,,,,,5.51,,,,,5.34,,,,,5.21,,,,,5.1,,,,,5.03,,,,,4.99,,,,,4.95
Central African Republic,9.38,,,,,9.34,,,,,9.23,,,,,8.95,,,,,9.24,,,,,9.59,,,,,9.82,,,,,9.87,,,,,9.97,,,,,10.3,,,,,10.6,,,,,10.8,,,,,10.8,,,,,11.3,,,,,11.8,,,,,11.5,,,,,10.9,,,,,10.1,,,,,10.1,,,,,10.1,,,,,9.87,,,,,9.37,,,,,8.85,,,,,8.45,,,,,8.14,,,,,7.87,,,,,7.57,,,,,7.25,,,,,6.94,,,,,6.67,,,,,6.46
Chad,9.49,,,,,9.2,,,,,8.98,,,,,8.92,,,,,10.3,,,,,10,,,,,9.72,,,,,9.6,,,,,10,,,,,10.2,,,,,10.3,,,,,10.5,,,,,10.9,,,,,11.1,,,,,11.2,,,,,11.2,,,,,11.1,,,,,11,,,,,10.8,,,,,10.6,,,,,10.3,,,,,9.98,,,,,9.65,,,,,9.32,,,,,9,,,,,8.71,,,,,8.43,,,,,8.17,,,,,7.9,,,,,7.65,,,,,7.4
Chile,9.41,,,,,8.89,,,,,9.35,,,,,9.31,,,,,10.3,,,,,10.5,,,,,10.5,,,,,10.3,,,,,9.16,,,,,8.37,,,,,8.35,,,,,8.58,,,,,8.02,,,,,7.27,,,,,6.67,,,,,6.4,,,,,6.01,,,,,5.79,,,,,5.59,,,,,5.39,,,,,5.2,,,,,5.06,,,,,4.97,,,,,4.9,,,,,4.86,,,,,4.81,,,,,4.77,,,,,4.74,,,,,4.72,,,,,4.72,,,,,4.71
China,9.16,,,,,8.39,,,,,7.99,,,,,9.27,,,,,11.1,,,,,9.49,,,,,10.9,,,,,12.2,,,,,10.4,,,,,7.94,,,,,8.1,,,,,9.87,,,,,7.31,,,,,5.59,,,,,5.28,,,,,5.42,,,,,5.65,,,,,5.37,,,,,4.94,,,,,4.69,,,,,4.62,,,,,4.72,,,,,4.87,,,,,4.93,,,,,4.89,,,,,4.83,,,,,4.81,,,,,4.86,,,,,4.94,,,,,4.96,,,,,4.92
Colombia,9.78,,,,,9.4,,,,,9.44,,,,,10.3,,,,,11,,,,,11.3,,,,,11.7,,,,,11.5,,,,,10,,,,,10,,,,,10,,,,,9.5,,,,,8.98,,,,,8.16,,,,,7.75,,,,,7.16,,,,,6.64,,,,,6.24,,,,,5.86,,,,,5.57,,,,,5.34,,,,,5.16,,,,,5.03,,,,,4.92,,,,,4.84,,,,,4.78,,,,,4.75,,,,,4.73,,,,,4.73,,,,,4.72,,,,,4.72
Comoros,10.1,,,,,9.75,,,,,9.25,,,,,8.57,,,,,9.86,,,,,10.5,,,,,10.5,,,,,10.3,,,,,10.2,,,,,10.5,,,,,11.1,,,,,11.2,,,,,10.8,,,,,10.4,,,,,10.2,,,,,10.3,,,,,10.3,,,,,10,,,,,9.63,,,,,9.3,,,,,9.04,,,,,8.84,,,,,8.63,,,,,8.39,,,,,8.12,,,,,7.86,,,,,7.63,,,,,7.44,,,,,7.23,,,,,7.01,,,,,6.8
"Congo, Dem. Rep.",9.97,,,,,10.2,,,,,10.3,,,,,10.2,,,,,9.71,,,,,9.82,,,,,9.98,,,,,10.1,,,,,10.1,,,,,10.1,,,,,10.3,,,,,10.3,,,,,10.2,,,,,10.2,,,,,10.5,,,,,10.9,,,,,11,,,,,10.9,,,,,10.6,,,,,10.5,,,,,10.3,,,,,10,,,,,9.65,,,,,9.26,,,,,8.88,,,,,8.51,,,,,8.18,,,,,7.83,,,,,7.5,,,,,7.19,,,,,6.89
"Congo, Rep.",9.85,,,,,9.75,,,,,9.62,,,,,9.49,,,,,9.58,,,,,9.76,,,,,10,,,,,10.3,,,,,10.7,,,,,10.9,,,,,10.6,,,,,10.1,,,,,9.62,,,,,9.8,,,,,10.3,,,,,10.9,,,,,10.8,,,,,10.1,,,,,9.77,,,,,9.72,,,,,9.7,,,,,9.53,,,,,9.21,,,,,8.9,,,,,8.66,,,,,8.46,,,,,8.27,,,,,8.04,,,,,7.79,,,,,7.56,,,,,7.35
Costa Rica,10.1,,,,,9.91,,,,,9.83,,,,,10.5,,,,,10,,,,,11.3,,,,,11.7,,,,,10.6,,,,,8.94,,,,,9.21,,,,,9.59,,,,,9.5,,,,,8.88,,,,,8.09,,,,,7.03,,,,,6.74,,,,,6.33,,,,,6,,,,,5.64,,,,,5.35,,,,,5.12,,,,,4.95,,,,,4.85,,,,,4.76,,,,,4.69,,,,,4.62,,,,,4.58,,,,,4.57,,,,,4.57,,,,,4.58,,,,,4.58
Cote d'Ivoire,10.4,,,,,10.2,,,,,9.65,,,,,8.83,,,,,9.25,,,,,9.46,,,,,9.55,,,,,9.74,,,,,10.2,,,,,10.8,,,,,10.8,,,,,10.6,,,,,10.8,,,,,11.1,,,,,10.8,,,,,10.6,,,,,10.6,,,,,10.5,,,,,10.4,,,,,10.2,,,,,9.97,,,,,9.78,,,,,9.59,,,,,9.39,,,,,9.17,,,,,8.98,,,,,8.78,,,,,8.58,,,,,8.37,,,,,8.17,,,,,7.96
Croatia,8.97,,,,,7.99,,,,,6.75,,,,,8.25,,,,,8.44,,,,,7.76,,,,,7.18,,,,,6.47,,,,,6.63,,,,,6.47,,,,,6.44,,,,,6.1,,,,,5.25,,,,,5.36,,,,,4.63,,,,,5.05,,,,,4.88,,,,,4.6,,,,,4.41,,,,,4.35,,,,,4.35,,,,,4.44,,,,,4.55,,,,,4.56,,,,,4.5,,,,,4.47,,,,,4.49,,,,,4.56,,,,,4.64,,,,,4.68,,,,,4.66
Cuba,9.86,,,,,10.1,,,,,9.81,,,,,9.04,,,,,9.5,,,,,8.74,,,,,11.8,,,,,11.4,,,,,10.2,,,,,6.89,,,,,6.63,,,,,7.39,,,,,6.39,,,,,5.91,,,,,5.22,,,,,4.81,,,,,5.12,,,,,5,,,,,4.89,,,,,4.71,,,,,4.56,,,,,4.53,,,,,4.61,,,,,4.72,,,,,4.76,,,,,4.72,,,,,4.67,,,,,4.64,,,,,4.67,,,,,4.7,,,,,4.7
Cyprus,9.13,,,,,8.71,,,,,8.3,,,,,9.96,,,,,9.18,,,,,8.94,,,,,8.56,,,,,7.96,,,,,7.28,,,,,7.34,,,,,7.89,,,,,7.54,,,,,7.56,,,,,6.53,,,,,5.87,,,,,5.74,,,,,5.56,,,,,5.21,,,,,4.81,,,,,4.63,,,,,4.6,,,,,4.62,,,,,4.62,,,,,4.56,,,,,4.5,,,,,4.48,,,,,4.51,,,,,4.57,,,,,4.61,,,,,4.62,,,,,4.61
Czech Republic,6.68,,,,,5.68,,,,,7.22,,,,,8.61,,,,,8.21,,,,,6.75,,,,,6.23,,,,,6.23,,,,,7.74,,,,,8.18,,,,,6.39,,,,,6.03,,,,,5.51,,,,,4.11,,,,,4.37,,,,,5.21,,,,,5.1,,,,,5.03,,,,,4.81,,,,,4.53,,,,,4.43,,,,,4.68,,,,,4.99,,,,,5.1,,,,,5.06,,,,,4.94,,,,,4.86,,,,,4.9,,,,,5.03,,,,,5.11,,,,,5.08
Denmark,6.69,,,,,6.85,,,,,8.07,,,,,8.44,,,,,7.27,,,,,7.02,,,,,7.45,,,,,7.34,,,,,6.89,,,,,5.93,,,,,5.09,,,,,5.48,,,,,6.15,,,,,6.1,,,,,5.7,,,,,5.67,,,,,5.01,,,,,5.14,,,,,5.44,,,,,5.59,,,,,5.53,,,,,5.37,,,,,5.22,,,,,5.19,,,,,5.26,,,,,5.33,,,,,5.31,,,,,5.22,,,,,5.12,,,,,5.06,,,,,5.06
Djibouti,10.4,,,,,10.7,,,,,11,,,,,11.2,,,,,9.31,,,,,9.48,,,,,10.9,,,,,10.7,,,,,10.5,,,,,11.1,,,,,10.6,,,,,11.8,,,,,10.9,,,,,10.4,,,,,9.75,,,,,8.88,,,,,8.55,,,,,8.24,,,,,7.94,,,,,7.59,,,,,7.19,,,,,6.81,,,,,6.52,,,,,6.32,,,,,6.18,,,,,6.07,,,,,5.94,,,,,5.82,,,,,5.7,,,,,5.63,,,,,5.58
Dominican Republic,11.3,,,,,10.7,,,,,9.46,,,,,9.83,,,,,11,,,,,11.7,,,,,11.9,,,,,11.5,,,,,11,,,,,10.6,,,,,10.5,,,,,10.1,,,,,9.77,,,,,9.13,,,,,8.94,,,,,8.63,,,,,8.26,,,,,7.81,,,,,7.39,,,,,7.01,,,,,6.67,,,,,6.35,,,,,6.06,,,,,5.8,,,,,5.57,,,,,5.39,,,,,5.24,,,,,5.12,,,,,5.02,,,,,4.93,,,,,4.86
Ecuador,9.38,,,,,9.34,,,,,9.57,,,,,9.31,,,,,10.7,,,,,10.7,,,,,10.8,,,,,10.9,,,,,10.7,,,,,10.3,,,,,10,,,,,9.99,,,,,9.6,,,,,9.12,,,,,8.49,,,,,8.25,,,,,7.97,,,,,7.63,,,,,7.25,,,,,6.9,,,,,6.58,,,,,6.31,,,,,6.06,,,,,5.83,,,,,5.62,,,,,5.44,,,,,5.29,,,,,5.16,,,,,5.06,,,,,4.97,,,,,4.89
Egypt,10,,,,,8.82,,,,,7.97,,,,,9.91,,,,,9.62,,,,,10.2,,,,,10.3,,,,,10.1,,,,,9.58,,,,,10.1,,,,,10.9,,,,,11.3,,,,,9.79,,,,,8.56,,,,,8.46,,,,,8.56,,,,,10,,,,,9.14,,,,,8.27,,,,,7.79,,,,,7.78,,,,,7.86,,,,,7.64,,,,,7.28,,,,,6.92,,,,,6.67,,,,,6.52,,,,,6.37,,,,,6.17,,,,,5.95,,,,,5.76
El Salvador,10.4,,,,,10.2,,,,,9.86,,,,,9.72,,,,,10.5,,,,,10.7,,,,,10.6,,,,,10.6,,,,,10.6,,,,,10.2,,,,,9.6,,,,,9.71,,,,,10.3,,,,,10,,,,,8.44,,,,,7.68,,,,,7.27,,,,,7.13,,,,,6.79,,,,,6.32,,,,,5.84,,,,,5.45,,,,,5.2,,,,,5.05,,,,,4.91,,,,,4.75,,,,,4.59,,,,,4.48,,,,,4.42,,,,,4.41,,,,,4.41
Equatorial Guinea,9.19,,,,,8.88,,,,,8.88,,,,,8.67,,,,,9.87,,,,,9.8,,,,,9.79,,,,,9.88,,,,,8.58,,,,,9.25,,,,,10.4,,,,,9.54,,,,,9.01,,,,,9.11,,,,,9.59,,,,,10.4,,,,,10.4,,,,,10.4,,,,,10.3,,,,,10.1,,,,,9.64,,,,,9.24,,,,,8.88,,,,,8.52,,,,,8.18,,,,,7.84,,,,,7.5,,,,,7.19,,,,,6.9,,,,,6.64,,,,,6.41
