country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahrain,4.81,,,,,4.63,,,,,4.63,,,,,2.57,,,,,3.82,,,,,3.55,,,,,3.65,,,,,4.02,,,,,4.07,,,,,4.39,,,,,4.42,,,,,4.24,,,,,4.21,,,,,4.73,,,,,6.37,,,,,8.73,,,,,10.8,,,,,12.8,,,,,15.1,,,,,17,,,,,19,,,,,22.2,,,,,25.9,,,,,29,,,,,30.8,,,,,31.9,,,,,32.9,,,,,33.7,,,,,34.4,,,,,35.1,,,,,35.5
Bangladesh,5.37,,,,,4.55,,,,,4.28,,,,,4.25,,,,,4.25,,,,,4.63,,,,,4.62,,,,,4.61,,,,,5.03,,,,,5.42,,,,,6.02,,,,,6.57,,,,,6.85,,,,,7.06,,,,,7.93,,,,,9.69,,,,,11.9,,,,,14.1,,,,,16.9,,,,,20,,,,,23.1,,,,,26,,,,,28.8,,,,,31.5,,,,,33.6,,,,,35.4,,,,,36.9,,,,,38.2,,,,,39.2,,,,,39.8,,,,,40.3
Barbados,10.1,,,,,10.1,,,,,11,,,,,11.8,,,,,12.2,,,,,13.2,,,,,13.4,,,,,12.7,,,,,15.7,,,,,16,,,,,17,,,,,17.3,,,,,19,,,,,21.4,,,,,24.6,,,,,27.7,,,,,29.7,,,,,31.5,,,,,32.4,,,,,33.2,,,,,33.4,,,,,33.7,,,,,33.7,,,,,34,,,,,34.2,,,,,34.5,,,,,34.9,,,,,35.2,,,,,35.5,,,,,35.9,,,,,36.2
Belarus,12.5,,,,,12.1,,,,,11.8,,,,,12.8,,,,,13.9,,,,,15.3,,,,,14.9,,,,,15.7,,,,,20.6,,,,,21.6,,,,,23.3,,,,,22.7,,,,,23.3,,,,,24.8,,,,,27.2,,,,,29.5,,,,,30.8,,,,,32.1,,,,,33.3,,,,,34.8,,,,,36.3,,,,,36.4,,,,,35.2,,,,,34,,,,,33.6,,,,,33.9,,,,,34.2,,,,,34.3,,,,,34.3,,,,,34.3,,,,,34.6
Belgium,15.5,,,,,16.2,,,,,17.1,,,,,18.1,,,,,18.8,,,,,18.9,,,,,17.5,,,,,18.1,,,,,23.3,,,,,24.1,,,,,24.6,,,,,24.6,,,,,25.6,,,,,26.2,,,,,27.6,,,,,29.3,,,,,30.8,,,,,31.9,,,,,32.7,,,,,33.4,,,,,33.9,,,,,34.1,,,,,34,,,,,34,,,,,34.3,,,,,34.6,,,,,35.1,,,,,35.5,,,,,35.8,,,,,36.2,,,,,36.7
Belize,5.71,,,,,5.9,,,,,6.12,,,,,6.01,,,,,6.04,,,,,6.42,,,,,5.67,,,,,5.25,,,,,6.26,,,,,6.45,,,,,5.72,,,,,4.94,,,,,5.5,,,,,5.88,,,,,6.76,,,,,8.05,,,,,9.56,,,,,11.3,,,,,12.8,,,,,14.7,,,,,16.8,,,,,19.1,,,,,21.4,,,,,23.5,,,,,24.9,,,,,26.2,,,,,27.6,,,,,29,,,,,30.2,,,,,31.2,,,,,32
Benin,10.7,,,,,8.64,,,,,7.96,,,,,7.45,,,,,7.31,,,,,6.99,,,,,6.57,,,,,6.09,,,,,6.3,,,,,5.96,,,,,5.75,,,,,5.73,,,,,5.67,,,,,5.6,,,,,5.65,,,,,5.84,,,,,6.12,,,,,6.46,,,,,6.87,,,,,7.35,,,,,7.93,,,,,8.61,,,,,9.38,,,,,10.2,,,,,11.1,,,,,12.1,,,,,13.1,,,,,14,,,,,15,,,,,16.1,,,,,17.1
Bhutan,4.28,,,,,4.13,,,,,4.02,,,,,3.94,,,,,3.84,,,,,3.82,,,,,3.86,,,,,4.01,,,,,4.49,,,,,4.86,,,,,5.14,,,,,5.49,,,,,5.96,,,,,6.63,,,,,7.67,,,,,8.87,,,,,10.6,,,,,12.6,,,,,15,,,,,18.1,,,,,22,,,,,25.5,,,,,28.3,,,,,30.5,,,,,32.4,,,,,34,,,,,35.4,,,,,36.4,,,,,37.1,,,,,37.5,,,,,37.7
Bolivia,8.29,,,,,7.55,,,,,6.89,,,,,6.48,,,,,6.26,,,,,6.13,,,,,6.04,,,,,6.22,,,,,7.17,,,,,7.42,,,,,7.62,,,,,8.18,,,,,8.78,,,,,9.72,,,,,10.5,,,,,11.2,,,,,12.2,,,,,13.3,,,,,14.8,,,,,16.5,,,,,18.3,,,,,20.2,,,,,22.2,,,,,24,,,,,25.7,,,,,27.1,,,,,28.5,,,,,29.9,,,,,31.1,,,,,32.3,,,,,33.3
Bosnia and Herzegovina,6.33,,,,,5.56,,,,,6.09,,,,,6.84,,,,,7.53,,,,,8.28,,,,,8.19,,,,,9.13,,,,,13,,,,,16.5,,,,,19,,,,,19.6,,,,,21.8,,,,,25.1,,,,,27.4,,,,,30.1,,,,,31.8,,,,,33.6,,,,,35.2,,,,,36.7,,,,,38.2,,,,,39.6,,,,,41,,,,,40.8,,,,,40.6,,,,,40.2,,,,,39.9,,,,,39.9,,,,,39.9,,,,,39.8,,,,,39.7
